weekly_hours,coding_months,money_spent,employed_dev,career_interests,expected_salary,willing_relocate,last_year_income,age,region,education_level,field_of_study,marital_status,disability_benefits,home_internet
10.0,4.0,100.0,0,Front-End Web Developer,2499,Yes,1999.0,28.0,Latin America and Caribbean,Bachelor’s degree,"Fine arts or performing arts (e.g., graphic design, music, studio, art)","Single, never married",0,1
3.0,14.0,200.0,0,Data Scientist,39999,Yes,37499.0,25.0,North America,"Some college credit, no degree","A social science (e.g., sociology, psychology, political science, economics)",Divorced,0,1
2.0,24.0,200.0,1,DevOps / SysAdmin,62499,Maybe,54999.0,28.0,Europe and Central Asia,Master's degree (non-professional),"Computer science, computer engineering, or software engineering","Single, never married",0,1
15.0,3.0,1200.0,0,Full-Stack Web Developer,87499,No,67499.0,41.0,North America,Associate’s degree,"Another engineering discipline (e.g., civil, electrical, mechanical)",Married or domestic partnership,0,1
4.0,36.0,0.0,1,Product Manager,24999,Maybe,12499.0,24.0,Europe and Central Asia,Bachelor’s degree,"Computer science, computer engineering, or software engineering","Single, never married",0,1
8.0,3.0,100.0,0,Full-Stack Web Developer,24999,Yes,27499.0,21.0,Europe and Central Asia,Bachelor’s degree,"Another engineering discipline (e.g., civil, electrical, mechanical)","Single, never married",0,1
10.0,72.0,90.0,1,Full-Stack Web Developer,15499,Yes,1999.0,22.0,Latin America and Caribbean,High school diploma or equivalent (GED),"Computer science, computer engineering, or software engineering","Single, never married",0,0
10.0,12.0,50.0,0,Full-Stack Web Developer,62499,Yes,44999.0,37.0,North America,"Some college credit, no degree","A health science (e.g., nursing, pharmacy, radiology)",Married or domestic partnership,1,1
10.0,26.0,50.0,0,Front-End Web Developer,39999,No,54999.0,42.0,Europe and Central Asia,Bachelor’s degree,"A natural science (e.g., biology, chemistry, physics)","Single, never married",0,1
10.0,12.0,15000.0,0,Game Developer,87499,Yes,104999.0,33.0,North America,"Trade, technical, or vocational training",Undecided or no major,"Single, never married",0,1
10.0,240.0,1200.0,1,Full-Stack Web Developer,142499,Maybe,139999.0,45.0,North America,Master's degree (non-professional),"Computer science, computer engineering, or software engineering",Married or domestic partnership,0,1
40.0,26.0,2000.0,1,Front-End Web Developer,112499,Maybe,32499.0,27.0,Latin America and Caribbean,Bachelor’s degree,"Computer science, computer engineering, or software engineering","Single, never married",0,1
80.0,3.0,1000.0,0,DevOps / SysAdmin,62499,Yes,67499.0,26.0,North America,"Some college credit, no degree","A business discipline (e.g., accounting, finance, marketing)","Single, never married",0,1
25.0,12.0,100.0,0,Full-Stack Web Developer,112499,Maybe,139999.0,34.0,Europe and Central Asia,"Professional degree (MBA, MD, JD, etc.)","A business discipline (e.g., accounting, finance, marketing)",Married or domestic partnership,0,1
2.0,1.0,0.0,0,Full-Stack Web Developer,62499,Maybe,54999.0,26.0,North America,Bachelor’s degree,"A business discipline (e.g., accounting, finance, marketing)",Married or domestic partnership,0,1
8.0,36.0,100.0,0,Full-Stack Web Developer,87499,Yes,54999.0,23.0,Europe and Central Asia,"Some college credit, no degree","Computer science, computer engineering, or software engineering","Single, never married",0,1
20.0,60.0,50.0,0,Full-Stack Web Developer,39999,Maybe,22499.0,28.0,Latin America and Caribbean,High school diploma or equivalent (GED),I didn't attend a university,"Single, never married",0,1
6.0,3.0,0.0,0,Mobile Developer,62499,Yes,82499.0,33.0,North America,Bachelor’s degree,"Environmental science (e.g., earth sciences, sustainability)",Married or domestic partnership,0,1
7.0,2.0,0.0,0,Full-Stack Web Developer,87499,Yes,67499.0,25.0,North America,"Some college credit, no degree","Information systems, information technology, or system administration",Married or domestic partnership,0,1
5.0,10.0,0.0,1,Full-Stack Web Developer,15499,Maybe,3999.0,27.0,Middle East and North Africa,Master's degree (non-professional),"A natural science (e.g., biology, chemistry, physics)","Single, never married",0,1
1.0,150.0,100.0,1,Full-Stack Web Developer,2499,No,82499.0,38.0,North America,Bachelor’s degree,Web development or web design,Married or domestic partnership,0,1
6.0,24.0,500.0,0,Teacher / Trainer / Developer Evangelist,112499,Yes,104999.0,34.0,North America,Bachelor’s degree,"Another engineering discipline (e.g., civil, electrical, mechanical)","Single, never married",0,1
7.0,2.0,30.0,0,Full-Stack Web Developer,87499,No,1999.0,22.0,North America,Bachelor’s degree,"Computer science, computer engineering, or software engineering",Married or domestic partnership,0,1
30.0,11.0,0.0,0,Full-Stack Web Developer,39999,No,37499.0,29.0,Southeast Asia,Bachelor’s degree,"Another engineering discipline (e.g., civil, electrical, mechanical)","Single, never married",0,1
25.0,24.0,150.0,0,Full-Stack Web Developer,62499,No,8499.0,45.0,North America,Bachelor’s degree,"A humanities discipline (e.g., literature, history, philosophy)",Married or domestic partnership,0,1
10.0,2.0,0.0,0,Full-Stack Web Developer,2499,Yes,82499.0,44.0,East Asia and Pacific,Bachelor’s degree,"Fine arts or performing arts (e.g., graphic design, music, studio, art)",Married or domestic partnership,0,1
10.0,12.0,50.0,0,Data Scientist,112499,Maybe,3999.0,24.0,South Asia,Bachelor’s degree,"Computer science, computer engineering, or software engineering","Single, never married",0,1
7.0,48.0,75.0,1,Full-Stack Web Developer,2499,Yes,1000.0,21.0,South Asia,Bachelor’s degree,"Computer science, computer engineering, or software engineering","Single, never married",0,0
3.0,48.0,100.0,1,Full-Stack Web Developer,62499,No,12499.0,21.0,North America,Bachelor’s degree,Web development or web design,"Single, never married",0,1
60.0,3.0,15.0,0,Data Scientist,62499,No,82499.0,44.0,North America,Master's degree (non-professional),"A social science (e.g., sociology, psychology, political science, economics)",Married or domestic partnership,0,1
10.0,3.0,35.0,0,mobile dev / game dev / UE,39999,Maybe,8499.0,23.0,North America,"Some college credit, no degree","about to start SE, if my wallet can bank it ._. got some few college credits unrelated to the degree","Single, never married",0,1
30.0,12.0,50.0,0,Full-Stack Web Developer,62499,Maybe,54999.0,29.0,North America,Master's degree (non-professional),"Fine arts or performing arts (e.g., graphic design, music, studio, art)","Single, never married",0,1
5.0,12.0,0.0,0,Full-Stack Web Developer,39999,Yes,3999.0,21.0,Europe and Central Asia,Bachelor’s degree,"Another engineering discipline (e.g., civil, electrical, mechanical)","Single, never married",0,0
3.0,11.0,10.0,1,Front-End Web Developer,62499,Maybe,1000.0,22.0,South Asia,Bachelor’s degree,"Another engineering discipline (e.g., civil, electrical, mechanical)","Single, never married",0,1
4.0,120.0,0.0,1,Data Scientist,87499,No,44999.0,30.0,South Asia,Bachelor’s degree,"Another engineering discipline (e.g., civil, electrical, mechanical)",Married or domestic partnership,0,0
2.0,23.0,42.0,0,Full-Stack Web Developer,7499,Yes,1000.0,21.0,Middle East and North Africa,High school diploma or equivalent (GED),"Environmental science (e.g., earth sciences, sustainability)","Single, never married",0,1
25.0,16.0,8000.0,1,Full-Stack Web Developer,62499,No,67499.0,36.0,Europe and Central Asia,Master's degree (non-professional),"A humanities discipline (e.g., literature, history, philosophy)",Married or domestic partnership,0,1
3.0,1.0,0.0,0,development mixed with data analysis and fardware data acqusition ,62499,Yes,32499.0,49.0,Europe and Central Asia,No high school (secondary school),I didn't attend a university,Married or domestic partnership,0,1
10.0,20.0,0.0,1,Full-Stack Web Developer,15499,Yes,3999.0,23.0,South Asia,Bachelor’s degree,"Information systems, information technology, or system administration","Single, never married",0,1
4.0,24.0,200.0,1,Full-Stack Web Developer,62499,Yes,44999.0,33.0,Europe and Central Asia,Ph.D.,"Another engineering discipline (e.g., civil, electrical, mechanical)",Married or domestic partnership,0,1
15.0,12.0,200.0,1,Full-Stack Web Developer,62499,No,37499.0,29.0,North America,Master's degree (non-professional),"A social science (e.g., sociology, psychology, political science, economics)","Single, never married",0,1
7.0,6.0,172.0,0,Front-End Web Developer,62499,No,44999.0,35.0,Europe and Central Asia,Bachelor’s degree,"A social science (e.g., sociology, psychology, political science, economics)",Married or domestic partnership,0,1
84.0,1.0,0.0,0,Full-Stack Web Developer,2499,Maybe,1000.0,19.0,Middle East and North Africa,No high school (secondary school),I didn't attend a university,"Single, never married",0,1
10.0,24.0,500.0,0,Mobile Developer,39999,Maybe,32499.0,46.0,Sub-Saharan Africa,"Some college credit, no degree",I didn't attend a university,Married or domestic partnership,0,1
20.0,12.0,600.0,0,Mobile Developer,62499,Yes,67499.0,39.0,North America,Bachelor’s degree,Paralegal,"Single, never married",0,1
4.0,6.0,0.0,0,User Experience Designer,62499,Yes,37499.0,27.0,East Asia and Pacific,Master's degree (non-professional),"A natural science (e.g., biology, chemistry, physics)","Single, never married",0,1
42.0,2.0,0.0,0,Data Scientist,7499,Yes,5999.0,23.0,Europe and Central Asia,Bachelor’s degree,"A social science (e.g., sociology, psychology, political science, economics)","Single, never married",0,1
15.0,30.0,100.0,0,Full-Stack Web Developer,15499,Maybe,5999.0,26.0,South Asia,Bachelor’s degree,"Computer science, computer engineering, or software engineering","Single, never married",0,1
35.0,5.0,40.0,1,Full-Stack Web Developer,62499,Maybe,12499.0,24.0,Middle East and North Africa,Master's degree (non-professional),"A natural science (e.g., biology, chemistry, physics)","Single, never married",0,0
5.0,1.0,50.0,0,Data Scientist,112499,Maybe,27499.0,28.0,North America,Bachelor’s degree,Education ,"Single, never married",0,1
5.0,36.0,50.0,1,Software Architect,179999,Yes,12499.0,38.0,Sub-Saharan Africa,Master's degree (non-professional),"Computer science, computer engineering, or software engineering",Married or domestic partnership,0,0
2.0,6.0,0.0,0,Front-End Web Developer,2499,No,,33.0,North America,High school diploma or equivalent (GED),Undecided or no major,"Single, never married",1,1
72.0,12.0,0.0,0,Full-Stack Web Developer,62499,Yes,3999.0,20.0,Sub-Saharan Africa,High school diploma or equivalent (GED),"Computer science, computer engineering, or software engineering","Single, never married",0,1
4.0,12.0,0.0,0,Full-Stack Web Developer,39999,Yes,1000.0,22.0,Europe and Central Asia,Bachelor’s degree,"A business discipline (e.g., accounting, finance, marketing)","Single, never married",0,1
15.0,18.0,7000.0,0,Full-Stack Web Developer,39999,No,27499.0,40.0,Europe and Central Asia,Bachelor’s degree,"Information systems, information technology, or system administration",Married or domestic partnership,0,1
20.0,60.0,200.0,1,Full-Stack Web Developer,62499,Yes,44999.0,35.0,North America,Bachelor’s degree,"A business discipline (e.g., accounting, finance, marketing)",Married or domestic partnership,0,1
20.0,7.0,5000.0,0,Full-Stack Web Developer,39999,Yes,67499.0,39.0,East Asia and Pacific,Bachelor’s degree,"A social science (e.g., sociology, psychology, political science, economics)","Single, never married",0,1
10.0,12.0,50.0,0,Back-End Web Developer,62499,No,67499.0,32.0,North America,Bachelor’s degree,"A business discipline (e.g., accounting, finance, marketing)",Married or domestic partnership,0,1
4.0,4.0,30.0,0,"Again I have an interest in front and back end, UX design and game development",24999,Yes,22499.0,46.0,Europe and Central Asia,"Professional degree (MBA, MD, JD, etc.)","Fine arts or performing arts (e.g., graphic design, music, studio, art)",Divorced,0,1
8.0,36.0,200.0,1,Front-End Web Developer,62499,Maybe,44999.0,37.0,North America,High school diploma or equivalent (GED),I didn't attend a university,"Single, never married",0,1
10.0,8.0,70.0,0,Mobile Developer,87499,No,32499.0,55.0,North America,Associate’s degree,"Computer science, computer engineering, or software engineering",Married or domestic partnership,0,1
10.0,36.0,200.0,1,Back-End Web Developer,15499,Maybe,1000.0,25.0,Middle East and North Africa,Bachelor’s degree,I didn't attend a university,"Single, never married",0,0
5.0,12.0,0.0,0,Back-End Web Developer,7499,Yes,5999.0,39.0,South Asia,Associate’s degree,I didn't attend a university,Married or domestic partnership,0,0
10.0,2.0,0.0,0,Undecided,39999,Maybe,17499.0,28.0,East Asia and Pacific,Bachelor’s degree,"A social science (e.g., sociology, psychology, political science, economics)","Single, never married",0,1
10.0,28.0,0.0,0,Full-Stack Web Developer,39999,No,17499.0,37.0,South Asia,Bachelor’s degree,"Computer science, computer engineering, or software engineering",Married or domestic partnership,0,1
1.0,36.0,1000.0,1,Data Scientist,112499,Maybe,104999.0,20.0,North America,High school diploma or equivalent (GED),I didn't attend a university,"Single, never married",0,0
6.0,36.0,30000.0,1,Game Developer,62499,Maybe,12499.0,33.0,East Asia and Pacific,"Trade, technical, or vocational training",I didn't attend a university,Married or domestic partnership,0,1
4.0,36.0,200.0,1,Full-Stack Web Developer,87499,Maybe,67499.0,31.0,Europe and Central Asia,Bachelor’s degree,"Another engineering discipline (e.g., civil, electrical, mechanical)","Single, never married",0,1
10.0,4.0,0.0,0,Full-Stack Web Developer,39999,Maybe,1999.0,26.0,Sub-Saharan Africa,Bachelor’s degree,"A business discipline (e.g., accounting, finance, marketing)","Single, never married",0,1
20.0,8.0,10.0,0,Front-End Web Developer,62499,Yes,8499.0,27.0,Middle East and North Africa,Bachelor’s degree,"Another engineering discipline (e.g., civil, electrical, mechanical)","Single, never married",0,0
7.0,5.0,30.0,0,Front-End Web Developer,15499,Maybe,5999.0,29.0,Europe and Central Asia,Bachelor’s degree,"A business discipline (e.g., accounting, finance, marketing)","Single, never married",0,1
7.0,55.0,200.0,1,Full-Stack Web Developer,15499,Maybe,17499.0,27.0,Europe and Central Asia,Bachelor’s degree,"Computer science, computer engineering, or software engineering",Married or domestic partnership,1,1
20.0,36.0,0.0,0,Data Engineer,62499,Yes,37499.0,26.0,Europe and Central Asia,Master's degree (non-professional),"Environmental science (e.g., earth sciences, sustainability)","Single, never married",0,1
6.0,38.0,0.0,0,Front-End Web Developer,62499,Maybe,32499.0,28.0,North America,Bachelor’s degree,Web development or web design,Married or domestic partnership,0,1
12.0,12.0,300.0,1,Full-Stack Web Developer,15499,No,8499.0,32.0,Latin America and Caribbean,Bachelor’s degree,"Another engineering discipline (e.g., civil, electrical, mechanical)","Single, never married",0,1
20.0,20.0,250.0,0,Front-End Web Developer,7499,No,1999.0,26.0,Latin America and Caribbean,Associate’s degree,"Another engineering discipline (e.g., civil, electrical, mechanical)","Single, never married",0,1
20.0,7.0,50.0,0,Front-End Web Developer,15499,No,17499.0,29.0,Europe and Central Asia,"Professional degree (MBA, MD, JD, etc.)","A humanities discipline (e.g., literature, history, philosophy)",Married or domestic partnership,0,1
10.0,2.0,0.0,0,Front-End Web Developer,39999,Yes,32499.0,34.0,Europe and Central Asia,Bachelor’s degree,"A social science (e.g., sociology, psychology, political science, economics)","Single, never married",0,1
15.0,30.0,11000.0,0,Full-Stack Web Developer,62499,No,104999.0,56.0,North America,Ph.D.,"A natural science (e.g., biology, chemistry, physics)",Married or domestic partnership,0,1
14.0,14.0,200.0,0,Front-End Web Developer,2499,No,1000.0,22.0,Southeast Asia,Bachelor’s degree,"Computer science, computer engineering, or software engineering","Single, never married",0,1
40.0,16.0,0.0,1,"Devops,backend,Blockchain,AI",7499,Maybe,3999.0,20.0,Europe and Central Asia,High school diploma or equivalent (GED),"Computer science, computer engineering, or software engineering","Single, never married",0,1
25.0,36.0,0.0,0,Data Scientist,62499,Yes,3999.0,20.0,North America,Associate’s degree,I didn't attend a university,"Single, never married",0,1
0.1,1.0,0.0,0,Information Security,24999,Yes,1000.0,32.0,Latin America and Caribbean,Master's degree (non-professional),"A humanities discipline (e.g., literature, history, philosophy)","Single, never married",0,1
30.0,12.0,100.0,0,Data Scientist,87499,No,104999.0,45.0,North America,"Some college credit, no degree","Computer science, computer engineering, or software engineering",Married or domestic partnership,0,1
4.0,12.0,1200.0,0,Full-Stack Web Developer,15499,Yes,1999.0,28.0,Sub-Saharan Africa,Bachelor’s degree,"Computer science, computer engineering, or software engineering","Single, never married",0,1
5.0,99.0,200.0,1,Full-Stack Web Developer,62499,Maybe,67499.0,38.0,North America,"Some college credit, no degree","Computer science, computer engineering, or software engineering",Divorced,0,1
15.0,18.0,200.0,0,Full-Stack Web Developer,62499,Yes,8499.0,23.0,North America,High school diploma or equivalent (GED),I didn't attend a university,"Single, never married",0,1
8.0,12.0,0.0,0,Full-Stack Web Developer,39999,Maybe,12499.0,41.0,North America,Bachelor’s degree,"A social science (e.g., sociology, psychology, political science, economics)","Single, never married",0,1
5.0,1.0,0.0,0,Information Security,24999,Yes,17499.0,32.0,South Asia,"Some college credit, no degree",I didn't attend a university,Married or domestic partnership,0,1
1.0,48.0,500.0,1,Full-Stack Web Developer,87499,Maybe,104999.0,39.0,North America,Bachelor’s degree,"A social science (e.g., sociology, psychology, political science, economics)",Married or domestic partnership,0,1
20.0,24.0,1200.0,0,DevOps / SysAdmin,39999,Yes,82499.0,35.0,North America,High school diploma or equivalent (GED),"Computer science, computer engineering, or software engineering",Divorced,0,1
25.0,3.0,25.0,0,Product Manager,112499,No,104999.0,30.0,North America,Bachelor’s degree,"A health science (e.g., nursing, pharmacy, radiology)",Married or domestic partnership,0,1
2.0,2.0,70.0,1,Full-Stack Web Developer,15499,Maybe,1999.0,27.0,South Asia,Bachelor’s degree,"Another engineering discipline (e.g., civil, electrical, mechanical)","Single, never married",0,1
10.0,60.0,350.0,1,Data Scientist,62499,Maybe,67499.0,27.0,Middle East and North Africa,Bachelor’s degree,"Another engineering discipline (e.g., civil, electrical, mechanical)","Single, never married",0,1
2.0,9.0,20.0,0,Data Scientist,112499,No,104999.0,31.0,Middle East and North Africa,Bachelor’s degree,"Environmental science (e.g., earth sciences, sustainability)",Married or domestic partnership,0,1
15.0,27.0,10.0,0,Front-End Web Developer,87499,Yes,67499.0,39.0,North America,Associate’s degree,I didn't attend a university,"Single, never married",1,1
84.0,36.0,50.0,0,Blockchain developer,24999,Maybe,1000.0,20.0,Southeast Asia,Bachelor’s degree,"Computer science, computer engineering, or software engineering","Single, never married",0,1
4.0,72.0,100.0,1,Full-Stack Web Developer,62499,Maybe,82499.0,27.0,North America,Bachelor’s degree,Mathematics or statistics,"Single, never married",0,1
20.0,40.0,400.0,0,I am not interested in a software development career,2499,I am not interested in a software development career,82499.0,59.0,North America,Bachelor’s degree,Education ,Married or domestic partnership,0,1
2.0,12.0,1000.0,0,Front-End Web Developer,15499,Yes,3999.0,32.0,Latin America and Caribbean,"Some college credit, no degree",I didn't attend a university,Married or domestic partnership,0,1
10.0,2.0,50.0,0,Mobile Developer,7499,Yes,1999.0,25.0,Latin America and Caribbean,Bachelor’s degree,"A health science (e.g., nursing, pharmacy, radiology)","Single, never married",0,1
20.0,24.0,6000.0,0,Data Scientist,39999,No,37499.0,75.0,North America,"Professional degree (MBA, MD, JD, etc.)","BA in biological sciences, 2yr post grad study in environmental sciences, MA in clinical psychology",Married or domestic partnership,0,1
18.0,5.0,250.0,0,Front-End Web Developer,112499,Maybe,1999.0,23.0,Latin America and Caribbean,"Trade, technical, or vocational training","Computer science, computer engineering, or software engineering","Single, never married",0,1
28.0,80.0,0.0,1,Full-Stack Web Developer,39999,Yes,22499.0,20.0,Europe and Central Asia,High school diploma or equivalent (GED),"Information systems, information technology, or system administration","Single, never married",0,1
15.0,16.0,200.0,0,Teacher / Trainer / Developer Evangelist,15499,Yes,1000.0,24.0,Middle East and North Africa,Bachelor’s degree,"Information systems, information technology, or system administration","Single, never married",0,0
4.0,47.0,100.0,1,Back-End Web Developer,87499,No,104999.0,32.0,North America,Bachelor’s degree,"A business discipline (e.g., accounting, finance, marketing)",Married or domestic partnership,0,1
7.0,12.0,100.0,0,Front-End Web Developer,24999,No,27499.0,36.0,Europe and Central Asia,"Some college credit, no degree",Undecided or no major,Married or domestic partnership,0,1
10.0,7.0,0.0,1,Full-Stack Web Developer,15499,Yes,12499.0,18.0,Europe and Central Asia,High school diploma or equivalent (GED),I didn't attend a university,"Single, never married",1,1
7.0,105.0,1600.0,1,DevOps / SysAdmin,112499,Yes,17499.0,29.0,Southeast Asia,Bachelor’s degree,"Computer science, computer engineering, or software engineering",Married or domestic partnership,0,1
20.0,36.0,100.0,1,Full-Stack Web Developer,39999,No,22499.0,32.0,Europe and Central Asia,"Some college credit, no degree",I didn't attend a university,Married or domestic partnership,0,1
2.0,36.0,500.0,1,Full-Stack Web Developer,39999,Yes,37499.0,26.0,Europe and Central Asia,Master's degree (non-professional),Web development or web design,"Single, never married",0,1
15.0,17.0,5000.0,1,Full-Stack Web Developer,39999,Yes,17499.0,34.0,South Asia,Bachelor’s degree,"Computer science, computer engineering, or software engineering",Married or domestic partnership,0,1
20.0,18.0,0.0,1,Game Developer,2499,Maybe,1000.0,25.0,Latin America and Caribbean,"Some college credit, no degree",Architecture,"Single, never married",0,1
30.0,27.0,0.0,0,Back-End Web Developer,2499,Yes,1000.0,24.0,Latin America and Caribbean,"Some college credit, no degree","Computer science, computer engineering, or software engineering","Single, never married",0,0
20.0,0.0,0.0,1,Front-End Web Developer,7499,Maybe,22499.0,33.0,Europe and Central Asia,High school diploma or equivalent (GED),Mathematics or statistics,Married or domestic partnership,0,1
